zip_code_prefix,state,lat,lng,zip_code_prefix_1_digits,zip_code_prefix_2_digits,zip_code_prefix_3_digits,zip_code_prefix_4_digits,x,y
01206,SP,-23.535863685117462,-46.64281871336397,0,01,012,0120,-5192254.828334649,-2696952.209779337
01207,SP,-23.539175560135188,-46.63865415001012,0,01,012,0120,-5191791.231262722,-2697354.3440932943
01208,SP,-23.53866049566226,-46.63898204602016,0,01,012,0120,-5191827.732479593,-2697291.803297091
01209,SP,-23.540695255566053,-46.641582935722816,0,01,012,0120,-5192117.262196902,-2697538.87186103
01210,SP,-23.540039340558916,-46.64209131081345,0,01,012,0121,-5192173.8542531235,-2697459.2276592464
01211,SP,-23.53757657410565,-46.64883790118901,0,01,012,0121,-5192924.881258322,-2697160.190831691
01212,SP,-23.538268511790665,-46.63942263256764,0,01,012,0121,-5191876.778349708,-2697244.2075101803
01213,SP,-23.53650149461516,-46.64036116340708,0,01,012,0121,-5191981.255124849,-2697029.6530633806
01214,SP,-23.538842493961866,-46.64523045306012,0,01,012,0121,-5192523.301969551,-2697313.902092003
01215,SP,-23.536167399914945,-46.64754185786534,0,01,012,0121,-5192780.606375485,-2696989.086999803
01216,SP,-23.533127593964494,-46.64783380745067,0,01,012,0121,-5192813.10605466,-2696619.9959005774
01217,SP,-23.532657557836473,-46.648883992986285,0,01,012,0121,-5192930.012173724,-2696562.925206006
01218,SP,-23.531249798864053,-46.64832514105406,0,01,012,0121,-5192867.8010612,-2696391.9996021627
01219,SP,-23.541288814286368,-46.64569860301067,0,01,012,0121,-5192575.416183661,-2697610.9448194783
01220,SP,-23.54451401110975,-46.64603990221943,0,01,012,0122,-5192613.409437788,-2698002.5705234045
01221,SP,-23.544867697472093,-46.64828171537102,0,01,012,0122,-5192862.966936276,-2698045.5181520646
01222,SP,-23.54594454397298,-46.64936937401519,0,01,012,0122,-5192984.044542702,-2698176.2787924223
01223,SP,-23.544088116558573,-46.64858211715019,0,01,012,0122,-5192896.407509367,-2697950.8549110442
01224,SP,-23.54177865147578,-46.65242233963952,0,01,012,0122,-5193323.899121412,-2697670.4236201565
01225,SP,-23.539786021213725,-46.64913883151014,0,01,012,0122,-5192958.380668434,-2697428.468571428
01226,SP,-23.53801010890567,-46.65271926812754,0,01,012,0122,-5193356.9530495005,-2697212.8315808764
01227,SP,-23.546201912968794,-46.658384582734,0,01,012,0122,-5193987.612986675,-2698207.5310697164
01228,SP,-23.54518937928602,-46.657610856988505,0,01,012,0122,-5193901.482230674,-2698084.579614543
01229,SP,-23.53890160984344,-46.657291130376805,0,01,012,0122,-5193865.890427066,-2697321.0801312644
01230,SP,-23.53631040591802,-46.65711200863415,0,01,012,0123,-5193845.950685883,-2697006.4508981085
01231,SP,-23.53695040742613,-46.659255892784934,0,01,012,0123,-5194084.606777868,-2697084.1606021742
